# skin tone patches
1F3FB;skin-tone-2
1F1E6-1F1EE;flag-ai
1F1E6-1F1F1;flag-al
1F1E6-1F1F2;flag-am
1F1E6-1F1F4;flag-ao
1F1E6-1F1F6;flag-aq
1F1E6-1F1F7;flag-ar
1F1E6-1F1F8;flag-as
1F1E6-1F1F9;flag-at
1F1E6-1F1FA;flag-au
1F1E6-1F1FC;flag-aw
1F1E6-1F1FD;flag-ax
1F1E6-1F1FF;flag-az
1F1E7-1F1E6;flag-ba
1F1E7-1F1E7;flag-bb
1F1E7-1F1E9;flag-bd
1F1E7-1F1EA;flag-be
1F1E7-1F1EB;flag-bf
1F1E7-1F1EC;flag-bg
1F1E7-1F1ED;flag-bh
1F1E7-1F1EE;flag-bi
1F1E7-1F1EF;flag-bj
1F1E7-1F1F1;flag-bl
1F1E7-1F1F2;flag-bm
1F1E7-1F1F3;flag-bn
1F1E7-1F1F4;flag-bo
1F1E7-1F1F6;flag-bq
1F1E7-1F1F7;flag-br
1F1E7-1F1F8;flag-bs
1F1E7-1F1F9;flag-bt
1F1E7-1F1FB;flag-bv
1F1E7-1F1FC;flag-bw
1F1E7-1F1FE;flag-by
1F1E7-1F1FF;flag-bz
1F1E8-1F1E6;flag-ca
1F1E8-1F1E8;flag-cc
1F1E8-1F1E9;flag-cd
1F1E8-1F1EB;flag-cf
1F1E8-1F1EC;flag-cg
1F1E8-1F1ED;flag-ch
1F1E8-1F1EE;flag-ci
1F1E8-1F1F0;flag-ck
1F1E8-1F1F1;flag-cl
1F1E8-1F1F2;flag-cm
1F1E8-1F1F3;flag-cn
1F1E8-1F1F4;flag-co
1F1E8-1F1F5;flag-cp
1F1E8-1F1F7;flag-cr
1F1E8-1F1FA;flag-cu
1F1E8-1F1FB;flag-cv
1F1E8-1F1FC;flag-cw
1F1E8-1F1FD;flag-cx
1F1E8-1F1FE;flag-cy
1F1E8-1F1FF;flag-cz
1F1E9-1F1EA;flag-de
1F1E9-1F1EC;flag-dg
1F1E9-1F1EF;flag-dj
1F1E9-1F1F0;flag-dk
1F1E9-1F1F2;flag-dm
1F1E9-1F1F4;flag-do
1F1E9-1F1FF;flag-dz
1F1EA-1F1E6;flag-ea
1F1EA-1F1E8;flag-ec
1F1EA-1F1EA;flag-ee
1F1EA-1F1EC;flag-eg
1F1EA-1F1ED;flag-eh
1F1EA-1F1F7;flag-er
1F1EA-1F1F8;flag-es
1F1EA-1F1F9;flag-et
1F1EA-1F1FA;flag-eu
1F1EB-1F1EE;flag-fi
1F1EB-1F1EF;flag-fj
1F1EB-1F1F0;flag-fk
1F1EB-1F1F2;flag-fm
1F1EB-1F1F4;flag-fo
1F1EB-1F1F7;flag-fr
1F1EC-1F1E6;flag-ga
1F1EC-1F1E7;flag-gb
1F1EC-1F1E9;flag-gd
1F1EC-1F1EA;flag-ge
1F1EC-1F1EB;flag-gf
1F1EC-1F1EC;flag-gg
1F1EC-1F1ED;flag-gh
1F1EC-1F1EE;flag-gi
1F1EC-1F1F1;flag-gl
1F1EC-1F1F2;flag-gm
1F1EC-1F1F3;flag-gn
1F1EC-1F1F5;flag-gp
1F1EC-1F1F6;flag-gq
1F1EC-1F1F7;flag-gr
1F1EC-1F1F8;flag-gs
1F1EC-1F1F9;flag-gt
1F1EC-1F1FA;flag-gu
1F1EC-1F1FC;flag-gw
1F1EC-1F1FE;flag-gy
1F1ED-1F1F0;flag-hk
1F1ED-1F1F2;flag-hm
1F1ED-1F1F3;flag-hn
1F1ED-1F1F7;flag-hr
1F1ED-1F1F9;flag-ht
1F1ED-1F1FA;flag-hu
1F1EE-1F1E8;flag-ic
1F1EE-1F1E9;flag-id
1F1EE-1F1EA;flag-ie
1F1EE-1F1F1;flag-il
1F1EE-1F1F2;flag-im
1F1EE-1F1F3;flag-in
1F1EE-1F1F4;flag-io
1F1EE-1F1F6;flag-iq
1F1EE-1F1F7;flag-ir
1F1EE-1F1F8;flag-is
1F1EE-1F1F9;flag-it
1F1EF-1F1EA;flag-je
1F1EF-1F1F2;flag-jm
1F1EF-1F1F4;flag-jo
1F1EF-1F1F5;flag-jp
1F1F0-1F1EA;flag-ke
1F1F0-1F1EC;flag-kg
1F1F0-1F1ED;flag-kh
1F1F0-1F1EE;flag-ki
1F1F0-1F1F2;flag-km
1F1F0-1F1F3;flag-kn
1F1F0-1F1F5;flag-kp
1F1F0-1F1F7;flag-kr
1F1F0-1F1FC;flag-kw
1F1F0-1F1FE;flag-ky
1F1F0-1F1FF;flag-kz
1F1F1-1F1E6;flag-la
1F1F1-1F1E7;flag-lb
1F1F1-1F1E8;flag-lc
1F1F1-1F1EE;flag-li
1F1F1-1F1F0;flag-lk
1F1F1-1F1F7;flag-lr
1F1F1-1F1F8;flag-ls
1F1F1-1F1F9;flag-lt
1F1F1-1F1FA;flag-lu
1F1F1-1F1FB;flag-lv
1F1F1-1F1FE;flag-ly
1F1F2-1F1E6;flag-ma
1F1F2-1F1E8;flag-mc
1F1F2-1F1E9;flag-md
1F1F2-1F1EA;flag-me
1F1F2-1F1EB;flag-mf
1F1F2-1F1EC;flag-mg
1F1F2-1F1ED;flag-mh
1F1F2-1F1F0;flag-mk
1F1F2-1F1F1;flag-ml
1F1F2-1F1F2;flag-mm
1F1F2-1F1F3;flag-mn
1F1F2-1F1F4;flag-mo
1F1F2-1F1F5;flag-mp
1F1F2-1F1F6;flag-mq
1F1F2-1F1F7;flag-mr
1F1F2-1F1F8;flag-ms
1F1F2-1F1F9;flag-mt
1F1F2-1F1FA;flag-mu
1F1F2-1F1FB;flag-mv
1F1F2-1F1FC;flag-mw
1F1F2-1F1FD;flag-mx
1F1F2-1F1FE;flag-my
1F1F2-1F1FF;flag-mz
1F1F3-1F1E6;flag-na
1F1F3-1F1E8;flag-nc
1F1F3-1F1EA;flag-ne
1F1F3-1F1EB;flag-nf
1F1F3-1F1EC;flag-ng
1F1F3-1F1EE;flag-ni
1F1F3-1F1F1;flag-nl
1F1F3-1F1F4;flag-no
1F1F3-1F1F5;flag-np
1F1F3-1F1F7;flag-nr
1F1F3-1F1FA;flag-nu
1F1F3-1F1FF;flag-nz
1F1F4-1F1F2;flag-om
1F1F5-1F1E6;flag-pa
1F1F5-1F1EA;flag-pe
1F1F5-1F1EB;flag-pf
1F1F5-1F1EC;flag-pg
1F1F5-1F1ED;flag-ph
1F1F5-1F1F0;flag-pk
1F1F5-1F1F1;flag-pl
1F1F5-1F1F2;flag-pm
1F1F5-1F1F3;flag-pn
1F1F5-1F1F7;flag-pr
1F1F5-1F1F8;flag-ps
1F1F5-1F1F9;flag-pt
1F1F5-1F1FC;flag-pw
1F1F5-1F1FE;flag-py
1F1F6-1F1E6;flag-qa
1F1F7-1F1EA;flag-re
1F1F7-1F1F4;flag-ro
1F1F7-1F1F8;flag-rs
1F1F7-1F1FA;flag-ru
1F1F7-1F1FC;flag-rw
1F1F8-1F1E6;flag-sa
1F1F8-1F1E7;flag-sb
1F1F8-1F1E8;flag-sc
1F1F8-1F1E9;flag-sd
1F1F8-1F1EA;flag-se
1F1F8-1F1EC;flag-sg
1F1F8-1F1ED;flag-sh
1F1F8-1F1EE;flag-si
1F1F8-1F1EF;flag-sj
1F1F8-1F1F0;flag-sk
1F1F8-1F1F1;flag-sl
1F1F8-1F1F2;flag-sm
1F1F8-1F1F3;flag-sn
1F1F8-1F1F4;flag-so
1F1F8-1F1F7;flag-sr
1F1F8-1F1F8;flag-ss
1F1F8-1F1F9;flag-st
1F1F8-1F1FB;flag-sv
1F1F8-1F1FD;flag-sx
1F1F8-1F1FE;flag-sy
1F1F8-1F1FF;flag-sz
1F1F9-1F1E6;flag-ta
1F1F9-1F1E8;flag-tc
1F1F9-1F1E9;flag-td
1F1F9-1F1EB;flag-tf
1F1F9-1F1EC;flag-tg
1F1F9-1F1ED;flag-th
1F1F9-1F1EF;flag-tj
1F1F9-1F1F0;flag-tk
1F1F9-1F1F1;flag-tl
1F1F9-1F1F2;flag-tm
1F1F9-1F1F3;flag-tn
1F1F9-1F1F4;flag-to
1F1F9-1F1F7;flag-tr
1F1F9-1F1F9;flag-tt
1F1F9-1F1FB;flag-tv
1F1F9-1F1FC;flag-tw
1F1F9-1F1FF;flag-tz
1F1FA-1F1E6;flag-ua
1F1FA-1F1EC;flag-ug
1F1FA-1F1F2;flag-um
1F1FA-1F1F8;flag-us
1F1FA-1F1FE;flag-uy
1F1FA-1F1FF;flag-uz
1F1FB-1F1E6;flag-va
1F1FB-1F1E8;flag-vc
1F1FB-1F1EA;flag-ve
1F1FB-1F1EC;flag-vg
1F1FB-1F1EE;flag-vi
1F1FB-1F1F3;flag-vn
1F1FB-1F1FA;flag-vu
1F1FC-1F1EB;flag-wf
1F1FC-1F1F8;flag-ws
1F1FD-1F1F0;flag-xk
1F1FE-1F1EA;flag-ye
1F1FE-1F1F9;flag-yt
1F1FF-1F1E6;flag-za
1F1FF-1F1F2;flag-zm
1F1FF-1F1FC;flag-zw

